,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,vanavara,60.34,102.2797,-0.32,73.0,90.0,5.21,RU,1635224323.0
356,saint-georges,12.0564,-61.7485,27.82,78.0,20.0,9.77,GD,1635224154.0
357,mugan,35.9404,101.3842,5.4,72.0,100.0,1.82,CN,1635224326.0
358,mantua,45.1667,10.7833,4.35,68.0,45.0,1.83,IT,1635224327.0
359,solnechnyy,50.7214,136.6319,9.75,59.0,49.0,2.81,RU,1635224329.0
360,sitio novo do tocantins,-5.5183,-47.4611,26.96,94.0,0.0,0.0,BR,1635224330.0
361,northam,51.0333,-4.2167,11.79,95.0,100.0,5.5,GB,1635224332.0
362,husavik,66.0449,-17.3389,-5.05,78.0,66.0,3.43,IS,1635224238.0
363,iskateley,67.6803,53.1512,-5.95,86.0,71.0,4.6,RU,1635224334.0
364,nouadhibou,20.931,-17.0347,20.99,78.0,85.0,9.77,MR,1635224336.0
365,bengkulu,-3.8004,102.2655,28.54,69.0,100.0,2.71,ID,1635224337.0
366,takoradi,4.8845,-1.7554,24.93,91.0,100.0,3.97,GH,1635224339.0
367,burnie,-41.0667,145.9167,15.52,53.0,2.0,3.43,AU,1635224257.0
368,bandarbeyla,9.4942,50.8122,26.03,72.0,64.0,1.23,SO,1635224342.0
369,dingle,10.9995,122.6711,29.3,74.0,99.0,4.57,PH,1635224343.0
370,areosa,41.7178,-8.8571,11.71,77.0,0.0,1.71,PT,1635224345.0
371,surat thani,9.1667,99.25,31.45,69.0,40.0,2.57,TH,1635224346.0
372,oranjemund,-28.55,16.4333,14.78,85.0,1.0,1.03,NA,1635224348.0
373,yulara,-25.2406,130.9889,37.91,15.0,40.0,11.32,AU,1635224349.0
374,burns lake,54.2331,-125.7533,1.68,93.0,85.0,0.85,CA,1635224351.0
375,kiunga,-6.1219,141.2906,34.58,47.0,53.0,0.7,PG,1635224352.0
376,saint-augustin,51.226,-58.6502,2.35,83.0,27.0,3.86,CA,1635224354.0
377,tuatapere,-46.1333,167.6833,12.51,97.0,96.0,1.19,NZ,1635224355.0
378,sao jose da coroa grande,-8.8978,-35.1478,25.58,66.0,96.0,4.34,BR,1635224357.0
380,monkey bay,-14.0728,34.9201,26.36,67.0,10.0,3.05,MW,1635224360.0
381,seminole,28.7086,-81.2081,23.76,94.0,0.0,3.67,US,1635224361.0
382,trairi,-3.2778,-39.2689,26.32,75.0,39.0,5.38,BR,1635224131.0
383,abu kamal,34.4506,40.9171,20.54,29.0,21.0,2.3,SY,1635224364.0
384,alice springs,-23.7,133.8833,36.75,18.0,40.0,2.57,AU,1635224365.0
385,awbari,26.5921,12.7805,18.5,31.0,17.0,2.76,LY,1635224367.0
386,gayny,60.3071,54.3241,-2.57,76.0,100.0,2.05,RU,1635224368.0
387,pandan,14.0453,124.1694,27.64,83.0,100.0,3.66,PH,1635224370.0
388,paita,-5.0892,-81.1144,18.19,81.0,100.0,4.54,PE,1635224371.0
389,dukat,62.55,155.55,-16.57,98.0,38.0,1.01,RU,1635224373.0
390,moerai,-22.4333,-151.3333,22.99,72.0,87.0,10.23,PF,1635224374.0
391,shakawe,-18.3667,21.85,23.87,61.0,100.0,1.81,BW,1635224376.0
392,taiyuan,37.8694,112.5603,16.92,27.0,0.0,5.0,CN,1635224227.0
393,grants,35.1473,-107.8514,9.13,40.0,1.0,2.06,US,1635224378.0
394,jieshi,22.8134,115.8257,28.3,66.0,98.0,5.33,CN,1635224380.0
395,chernyshevskiy,63.0128,112.4714,-1.5,82.0,100.0,2.69,RU,1635224381.0
396,sawakin,19.1059,37.3321,28.62,76.0,52.0,1.76,SD,1635224383.0
397,ampanihy,-24.7,44.75,29.97,39.0,66.0,4.83,MG,1635224384.0
398,flinders,-34.5833,150.8552,19.71,62.0,18.0,3.87,AU,1635224386.0
399,lagoa,39.05,-27.9833,19.68,74.0,3.0,6.04,PT,1635224387.0
400,port lincoln,-34.7333,135.8667,24.6,41.0,74.0,6.12,AU,1635224389.0
401,lavrentiya,65.5833,-171.0,-9.46,80.0,100.0,4.51,RU,1635224390.0
402,vardo,70.3705,31.1107,0.11,75.0,100.0,11.55,NO,1635224392.0
404,adrar,20.5022,-10.0711,24.61,18.0,49.0,4.83,MR,1635224395.0
406,longyearbyen,78.2186,15.6401,-9.09,73.0,0.0,4.63,SJ,1635224397.0
407,slobozia,46.7281,29.7078,-4.51,74.0,5.0,1.91,MD,1635224298.0
408,codrington,-38.2667,141.9667,19.25,48.0,92.0,2.42,AU,1635224400.0
409,netivot,31.4222,34.5886,18.12,81.0,1.0,1.15,IL,1635224402.0
410,shimoda,34.6667,138.95,20.06,72.0,62.0,2.06,JP,1635224264.0
411,borujerd,33.8973,48.7516,12.99,28.0,0.0,0.94,IR,1635224409.0
412,eureka,40.8021,-124.1637,11.98,69.0,95.0,1.79,US,1635224412.0
413,polunochnoye,60.8697,60.4153,-3.35,66.0,7.0,3.34,RU,1635224415.0
414,contai,21.7786,87.7536,28.32,67.0,3.0,3.51,IN,1635224417.0
415,clyde river,70.4692,-68.5914,-6.92,82.0,56.0,3.86,CA,1635224419.0
417,khorixas,-20.3667,14.9667,16.8,28.0,9.0,1.79,NA,1635224422.0
418,kahului,20.8947,-156.47,25.46,84.0,12.0,3.13,US,1635224424.0
419,traralgon,-38.1833,146.5333,18.95,60.0,0.0,0.45,AU,1635224425.0
420,polis,35.0367,32.4264,16.9,65.0,66.0,1.69,CY,1635224427.0
421,mangrol,21.1167,70.1167,28.27,44.0,4.0,4.45,IN,1635224428.0
422,ust-nera,64.5667,143.2,-10.37,96.0,97.0,1.09,RU,1635224274.0
423,sorland,67.667,12.6934,7.04,85.0,99.0,7.88,NO,1635224431.0
424,marakkanam,12.2,79.95,29.95,60.0,100.0,4.04,IN,1635224433.0
425,itarema,-2.9248,-39.9167,26.21,73.0,27.0,6.73,BR,1635224434.0
426,troy,42.6056,-83.1499,7.67,89.0,90.0,0.45,US,1635224303.0
427,jamame,0.0722,42.7506,28.58,67.0,75.0,4.01,SO,1635224437.0
428,inhambane,-23.865,35.3833,24.23,64.0,94.0,3.53,MZ,1635224438.0
429,bosaso,11.2842,49.1816,28.07,57.0,8.0,1.96,SO,1635224440.0
430,perehonivka,48.5355,30.5192,0.95,70.0,4.0,3.19,UA,1635224441.0
431,sinjar,36.3209,41.8754,19.36,38.0,67.0,1.61,IQ,1635224443.0
433,westport,41.1415,-73.3579,13.92,95.0,90.0,0.45,US,1635224250.0
434,zaysan,47.4667,84.8667,11.96,27.0,7.0,1.13,KZ,1635224447.0
435,ylivieska,64.0833,24.55,6.66,97.0,100.0,3.3,FI,1635224448.0
436,san policarpo,12.1791,125.5072,29.24,67.0,100.0,3.91,PH,1635224450.0
438,spassk-dalniy,44.5978,132.8211,15.89,46.0,7.0,5.63,RU,1635224453.0
439,menongue,-14.6585,17.691,19.65,73.0,96.0,1.88,AO,1635224454.0
440,jacmel,18.2342,-72.5347,25.36,79.0,65.0,0.53,HT,1635224456.0
441,mto wa mbu,-3.35,35.85,22.61,70.0,95.0,3.18,TZ,1635224457.0
442,sao filipe,14.8961,-24.4956,25.64,80.0,67.0,3.68,CV,1635224459.0
443,benjamin constant,-4.3831,-70.0311,22.49,99.0,100.0,1.74,BR,1635224460.0
444,anadyr,64.75,177.4833,-17.72,85.0,20.0,4.0,RU,1635224462.0
445,tevaitoa,-16.7833,-151.5,23.79,86.0,100.0,3.75,PF,1635224464.0
446,la rioja,42.25,-2.5,6.38,89.0,0.0,1.88,ES,1635224465.0
447,agen,44.2,0.6333,11.28,100.0,90.0,1.03,FR,1635224168.0
448,penticton,49.4806,-119.5858,11.49,88.0,100.0,3.82,CA,1635224418.0
449,kashi,39.4547,75.9797,15.14,30.0,11.0,0.28,CN,1635224469.0
450,otradnoye,59.7775,30.8181,4.75,89.0,100.0,4.1,RU,1635224471.0
451,maraa,-1.8333,-65.3667,23.69,94.0,99.0,0.65,BR,1635224472.0
452,bismil,37.8486,40.6658,8.06,33.0,100.0,2.35,TR,1635224474.0
453,grindavik,63.8424,-22.4338,3.26,87.0,75.0,3.6,IS,1635224475.0
454,tawang,27.5833,91.8667,14.49,42.0,2.0,3.34,IN,1635224477.0
455,banda aceh,5.5577,95.3222,28.82,70.0,100.0,0.86,ID,1635224478.0
456,tobe,33.7447,132.7901,20.03,55.0,4.0,3.33,JP,1635224480.0
457,meulaboh,4.1363,96.1285,28.95,69.0,86.0,2.71,ID,1635224481.0
458,zhumadian,32.9794,114.0294,20.99,45.0,93.0,2.59,CN,1635224483.0
459,san julian,21.0167,-102.1667,11.93,96.0,100.0,0.88,MX,1635224484.0
460,bonavista,48.6499,-53.1147,2.0,75.0,37.0,6.43,CA,1635224208.0
461,soe,-9.8607,124.284,33.01,22.0,58.0,4.45,ID,1635224487.0
462,puerto el triunfo,13.2833,-88.55,25.92,88.0,57.0,0.94,SV,1635224489.0
464,teruel,40.6667,-0.6667,2.63,67.0,100.0,1.01,ES,1635224491.0
466,morwell,-38.2333,146.4,19.18,59.0,0.0,1.15,AU,1635224205.0
467,omboue,-1.5746,9.2618,24.28,88.0,100.0,0.3,GA,1635224495.0
469,vostok,46.4856,135.8833,11.12,42.0,4.0,2.73,RU,1635224498.0
470,allende,25.2833,-100.0167,26.43,61.0,100.0,1.4,MX,1635224499.0
471,calabozo,8.9242,-67.4293,24.09,86.0,69.0,2.47,VE,1635224266.0
472,coquimbo,-29.9533,-71.3436,13.77,86.0,7.0,1.61,CL,1635224502.0
473,georgiyevskoye,58.731,45.024,1.18,97.0,100.0,4.52,RU,1635224504.0
474,namibe,-15.1961,12.1522,17.92,70.0,64.0,3.54,AO,1635224505.0
475,odweyne,9.4092,45.064,22.84,63.0,77.0,3.62,SO,1635224507.0
476,palu,-0.8917,119.8707,31.35,68.0,76.0,1.62,ID,1635224508.0
477,karratha,-20.7377,116.8463,32.25,30.0,1.0,8.7,AU,1635224510.0
478,lubumbashi,-11.6609,27.4794,21.15,64.0,35.0,1.36,CD,1635224353.0
479,warner robins,32.621,-83.5999,19.07,91.0,1.0,3.6,US,1635224512.0
480,benguela,-12.5763,13.4055,23.12,74.0,46.0,1.15,AO,1635224514.0
481,aguada de pasajeros,22.385,-80.8508,24.69,91.0,92.0,0.76,CU,1635224515.0
482,cairns,-16.9167,145.7667,31.97,45.0,6.0,5.66,AU,1635224403.0
484,taybad,34.74,60.7756,15.97,21.0,0.0,3.69,IR,1635224519.0
486,morondava,-20.2833,44.2833,27.52,64.0,17.0,2.96,MG,1635224522.0
487,cueramaro,20.6167,-101.7167,12.44,96.0,98.0,1.4,MX,1635224524.0
488,goure,13.9835,10.2704,27.23,18.0,32.0,3.79,NE,1635224525.0
489,zhenlai,45.8495,123.2973,13.56,36.0,48.0,6.88,CN,1635224527.0
491,saint-francois,46.4154,3.9054,9.95,100.0,90.0,1.03,FR,1635224530.0
492,cabedelo,-6.9811,-34.8339,25.94,74.0,100.0,6.99,BR,1635224531.0
493,mukhen,48.1,136.1,13.82,41.0,9.0,3.61,RU,1635224533.0
494,peniche,39.3558,-9.3811,13.65,93.0,0.0,5.71,PT,1635224534.0
496,pasighat,28.0667,95.3333,27.89,52.0,1.0,1.66,IN,1635224537.0
497,novaya malykla,54.2,49.95,0.08,70.0,36.0,4.19,RU,1635224538.0
498,tilichiki,60.4667,166.1,-5.56,93.0,82.0,2.24,RU,1635224540.0
499,padang,-0.9492,100.3543,30.03,76.0,73.0,2.13,ID,1635224541.0
500,lakatoro,-16.0999,167.4164,27.79,74.0,11.0,4.91,VU,1635224543.0
501,wysokie mazowieckie,52.9166,22.5171,0.56,72.0,100.0,3.85,PL,1635224544.0
502,slave lake,55.2834,-114.769,2.82,89.0,69.0,1.58,CA,1635224546.0
504,loding,67.3,14.75,6.15,95.0,75.0,0.45,NO,1635224549.0
505,rock sound,24.9,-76.2,28.04,75.0,100.0,5.92,BS,1635224430.0
506,tambura,5.6,27.4667,22.42,81.0,100.0,1.68,SS,1635224551.0
507,port augusta,-32.5,137.7667,32.06,8.0,14.0,6.58,AU,1635224553.0
508,raudeberg,61.9875,5.1352,7.17,95.0,85.0,2.68,NO,1635224554.0
509,demba,-5.51,22.2667,20.3,95.0,100.0,0.35,CD,1635224556.0
511,hovd,48.0056,91.6419,6.5,33.0,8.0,1.58,MN,1635224559.0
512,visby,57.6409,18.296,8.08,93.0,0.0,3.6,SE,1635224560.0
513,mount gambier,-37.8333,140.7667,21.23,34.0,100.0,0.36,AU,1635224441.0
514,kumluca,36.3703,30.2869,18.87,58.0,71.0,1.45,TR,1635224563.0
515,matara,5.9485,80.5353,28.82,68.0,100.0,4.08,LK,1635224564.0
516,altona,53.55,9.9333,10.2,95.0,75.0,3.09,DE,1635224566.0
517,koumac,-20.5667,164.2833,25.0,64.0,79.0,2.8,NC,1635224568.0
518,craig,40.5153,-107.5464,16.47,27.0,1.0,8.75,US,1635224569.0
519,kelo,9.3086,15.8066,23.85,79.0,27.0,1.9,TD,1635224571.0
520,cangucu,-31.395,-52.6756,14.31,76.0,0.0,3.1,BR,1635224572.0
521,harnosand,62.6323,17.9379,2.05,91.0,50.0,3.73,SE,1635224574.0
522,el salto,20.3333,-104.5,15.24,90.0,100.0,0.15,MX,1635224575.0
523,gizo,-8.103,156.8419,28.31,75.0,75.0,3.27,SB,1635224577.0
524,brae,60.3964,-1.353,8.95,85.0,60.0,6.2,GB,1635224578.0
525,pinega,64.7001,43.3936,-4.19,94.0,100.0,1.92,RU,1635224580.0
528,khor,47.8861,134.9464,14.22,40.0,48.0,4.71,RU,1635224584.0
529,mehamn,71.0357,27.8492,-0.12,86.0,90.0,5.14,NO,1635224585.0
530,campanha,-21.8361,-45.4006,18.93,97.0,100.0,1.31,BR,1635224587.0
531,simao,22.7886,100.9748,20.74,91.0,91.0,0.74,CN,1635224588.0
532,port macquarie,-31.4333,152.9167,20.5,58.0,56.0,3.86,AU,1635224590.0
533,ketchikan,55.3422,-131.6461,9.26,93.0,90.0,3.09,US,1635224591.0
534,gebre guracha,9.8,38.4,13.8,56.0,72.0,0.99,ET,1635224593.0
535,ishigaki,24.3448,124.1572,25.04,61.0,16.0,7.94,JP,1635224595.0
536,nongan,44.382,125.1685,13.11,35.0,96.0,5.09,CN,1635224596.0
537,pangnirtung,66.1451,-65.7125,-5.27,58.0,42.0,0.91,CA,1635224598.0
538,scarborough,54.2797,-0.4044,7.83,88.0,92.0,0.45,GB,1635224509.0
539,ayan,56.45,138.1667,5.82,65.0,96.0,0.67,RU,1635224600.0
540,tucuma,-0.1833,-50.05,24.79,93.0,38.0,2.67,BR,1635224550.0
541,aripuana,-9.1667,-60.6333,22.36,99.0,100.0,0.85,BR,1635224603.0
542,kertosono,-7.5833,112.1,36.37,36.0,70.0,2.84,ID,1635224605.0
543,cassilandia,-19.1133,-51.7342,21.24,83.0,64.0,1.46,BR,1635224322.0
544,kenai,60.5544,-151.2583,1.33,94.0,100.0,2.9,US,1635224330.0
545,verkh-usugli,52.7,115.1667,4.7,53.0,100.0,5.01,RU,1635224609.0
546,la canada,20.6167,-100.3167,14.17,100.0,40.0,0.0,MX,1635224610.0
547,pakhtakoron,40.1571,68.7466,17.2,21.0,100.0,1.19,TJ,1635224612.0
548,lompoc,34.6391,-120.4579,11.88,91.0,1.0,2.57,US,1635224613.0
549,ariquemes,-9.9133,-63.0408,22.79,96.0,100.0,0.24,BR,1635224614.0
550,pauini,-7.7136,-66.9764,21.19,100.0,100.0,0.93,BR,1635224616.0
551,madang,-5.2246,145.7966,29.9,67.0,100.0,3.29,PG,1635224617.0
552,deputatskiy,69.3,139.9,-16.78,98.0,99.0,1.13,RU,1635224619.0
553,vila do maio,15.1333,-23.2167,25.44,80.0,100.0,5.37,CV,1635224620.0
554,gawler,-34.6,138.7333,29.81,17.0,88.0,2.59,AU,1635224622.0
555,ust-kuyga,70.0167,135.6,-17.56,99.0,96.0,2.31,RU,1635224623.0
556,olinda,-8.0089,-34.8553,26.85,69.0,40.0,4.12,BR,1635224606.0
557,tavda,58.0425,65.2726,-2.18,77.0,44.0,5.3,RU,1635224626.0
558,vagur,61.4732,-6.8119,8.43,78.0,43.0,5.13,FO,1635224628.0
559,grandola,38.1772,-8.5668,11.86,85.0,0.0,2.34,PT,1635224629.0
560,akureyri,65.6835,-18.0878,-3.68,87.0,13.0,1.85,IS,1635224631.0
562,omsukchan,62.5333,155.8,-16.05,97.0,38.0,0.83,RU,1635224634.0
563,beidao,34.5686,105.8933,10.4,71.0,98.0,0.89,CN,1635224635.0
564,nadym,65.5333,72.5167,-3.57,95.0,100.0,1.29,RU,1635224637.0
565,necochea,-38.5473,-58.7368,8.91,61.0,12.0,4.6,AR,1635224416.0
568,muisne,0.6,-80.0333,24.02,86.0,92.0,1.87,EC,1635224642.0
569,kaeo,-35.1,173.7833,20.74,82.0,81.0,3.36,NZ,1635224644.0
570,belaya gora,68.5333,146.4167,-18.54,98.0,92.0,0.97,RU,1635224645.0
571,turukhansk,65.8167,87.9833,-7.47,93.0,82.0,3.6,RU,1635224647.0
572,narrabri,-30.3167,149.7833,28.62,12.0,0.0,1.34,AU,1635224648.0
573,tuchkovo,55.6011,36.4681,-1.61,79.0,100.0,4.35,RU,1635224650.0
574,grand gaube,-20.0064,57.6608,25.21,66.0,27.0,6.26,MU,1635224651.0
575,okhotsk,59.3833,143.3,-2.37,75.0,20.0,3.56,RU,1635224653.0
576,puerto quijarro,-17.7833,-57.7667,23.26,53.0,92.0,1.33,BO,1635224654.0
577,iguape,-24.7081,-47.5553,17.75,93.0,35.0,1.13,BR,1635224656.0
578,abohar,30.15,74.1833,24.54,37.0,0.0,2.27,IN,1635224657.0
579,notse,6.95,1.1667,23.44,94.0,100.0,1.6,TG,1635224659.0
580,solhan,38.9634,41.0293,3.79,47.0,43.0,1.84,TR,1635224660.0
581,nishihara,26.1842,127.7558,26.28,52.0,20.0,4.63,JP,1635224662.0
582,oranjestad,12.524,-70.027,27.89,80.0,7.0,9.96,AW,1635224664.0
